1,27,70
1,28,80
1,29,45
1,30,70
1,31,80
2,37,60
2,38,86
2,39,95
2,40,45
2,41,35
2,42,65
2,43,65
2,44,80
3,4,90
3,5,75
3,6,80
4,39,80
4,40,70
4,41,90
4,42,90
5,43,90
5,44,65
5,39,85
5,40,65
5,41,80
6,21,75
6,22,60
6,23,85
7,24,90
7,21,70
7,21,80
7,23,90
8,27,70
8,28,80
8,29,75
8,30,85
8,31,60
8,32,70
8,33,90
8,34,75
8,35,65
9,18,70
9,19,75
9,20,80
9,21,85
9,22,70
10,27,75
10,28,90
10,29,70
10,30,90
10,31,70
10,32,75
11,14,40
11,15,55
11,16,50
11,17,60
12,14,80
12,15,90
14,8,60
14,9,75
14,10,80
15,16,60
15,17,80
16,10,80
16,11,70
16,12,90
17,7,70
17,8,75
17,9,70
17,10,90
17,11,75
17,12,85
17,13,70
18,41,80
18,42,80
19,45,70
19,46,75
19,47,60
19,48,40
19,49,80
19,50,50
21,45,70
21,46,80
21,47,85
22,1,75
22,2,80
22,3,90
22,4,65
22,5,70
